model,arch_or_test,n,correct,acc_pct,ci_low,ci_high,D_only_right,base_only_right,p_value,verdict
llama3,A,210,59,28.1,22.5,34.5,,,,
llama3,B,210,56,26.7,21.1,33.0,,,,
llama3,C,210,108,51.4,44.7,58.1,,,,
llama3,D,210,174,82.9,77.2,87.4,,,,
llama3,D_vs_A,210,,,,,125,10,0.000000,SIGNIFICANT
llama3,D_vs_B,210,,,,,133,15,0.000000,SIGNIFICANT
llama3,D_vs_C,210,,,,,66,0,0.000000,SIGNIFICANT
mistral,A,207,63,30.4,24.6,37.0,,,,
mistral,B,208,50,24.0,18.7,30.3,,,,
mistral,C,210,110,52.4,45.6,59.0,,,,
mistral,D,210,172,81.9,76.1,86.5,,,,
mistral,D_vs_A,207,,,,,120,12,0.000000,SIGNIFICANT
mistral,D_vs_B,208,,,,,135,15,0.000000,SIGNIFICANT
mistral,D_vs_C,210,,,,,62,0,0.000000,SIGNIFICANT
qwen2.5,A,209,60,28.7,23.0,35.2,,,,
qwen2.5,B,210,67,31.9,26.0,38.5,,,,
qwen2.5,C,209,103,49.3,42.6,56.0,,,,
qwen2.5,D,210,188,89.5,84.6,93.0,,,,
qwen2.5,D_vs_A,209,,,,,131,4,0.000000,SIGNIFICANT
qwen2.5,D_vs_B,210,,,,,126,5,0.000000,SIGNIFICANT
qwen2.5,D_vs_C,209,,,,,90,5,0.000000,SIGNIFICANT
